Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
History of the Family	1081-602X	1873-5398	FAMILY STUDIES - SSCI$HISTORY OF SOCIAL SCIENCES - SSCI	1.190	Q2	0.83
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY	0963-1798	2044-8325	MANAGEMENT - SSCI$PSYCHOLOGY, APPLIED - SSCI	5.119	Q2	1.21
SOCIAL STUDIES OF SCIENCE	0306-3127	1460-3659	HISTORY & PHILOSOPHY OF SCIENCE - SSCI	2.781	Q1	2.61
Translator	1355-6509	1757-0409	COMMUNICATION - SSCI$LINGUISTICS - SSCI	0.744	Q3	0.41
COLLEGE & RESEARCH LIBRARIES	0010-0870	2150-6701	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI	1.814	Q3	0.66
INJURY PREVENTION	1353-8047	1475-5785	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	3.775	Q2	0.94
COGNITIVE NEUROPSYCHOLOGY	0264-3294	1464-0627	PSYCHOLOGY, EXPERIMENTAL - SSCI	3.750	Q2	0.72
SCIENCE & SOCIETY	0036-8237	1943-2801	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	1.233	Q3	0.46
Journal of Operational Risk	1744-6740	1755-2710	BUSINESS, FINANCE - SSCI	0.645	Q4	0.24
GEORGE WASHINGTON LAW REVIEW	0016-8076	0016-8076	LAW - SSCI	1.548	Q2	1.33
Anthropological Notebooks	1408-032X	N/A	ANTHROPOLOGY - SSCI	0.538	Q4	0.26
Journal of Computational Finance	1460-1559	1755-2850	BUSINESS, FINANCE - SSCI	1.417	Q4	0.39
Journal of African Media Studies	2040-199X	1751-7974	COMMUNICATION - SSCI$CULTURAL STUDIES - SSCI	0.641	Q3	0.70
Journal of Children and Media	1748-2798	1748-2801	COMMUNICATION - SSCI$SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	2.716	Q2	1.07
Mathematical Population Studies	0889-8480	1547-724X	DEMOGRAPHY - SSCI$SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI	1.355	Q4	0.38
Measurement in Physical Education and Exercise Science	1091-367X	1532-7841	EDUCATION & EDUCATIONAL RESEARCH - SSCI$HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI	1.975	Q3	0.88
Rural History-Economy Society Culture	0956-7933	1474-0656	HISTORY - SSCI	0.714	Q2	1.86
CREATIVITY RESEARCH JOURNAL	1040-0419	1532-6934	PSYCHOLOGY, EDUCATIONAL - SSCI$PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	2.032	Q3	0.71
COMMUNITY DEVELOPMENT JOURNAL	0010-3802	1468-2656	DEVELOPMENT STUDIES - SSCI	1.514	Q4	0.41
CARTOGRAPHIC JOURNAL	0008-7041	1743-2774	GEOGRAPHY - SSCI	1.366	Q4	0.42
INTERNATIONAL LABOUR REVIEW	0020-7780	1564-913X	ECONOMICS - SSCI$INDUSTRIAL RELATIONS & LABOR - SSCI	1.297	Q3	0.60
Asia-Pacific Education Researcher	0119-5646	2243-7908	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.561	Q2	1.25
Economic Systems Research	0953-5314	1469-5758	ECONOMICS - SSCI	2.081	Q2	0.71
DADOS-REVISTA DE CIENCIAS SOCIAIS	0011-5258	1678-4588	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	0.545	Q4	0.17
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT	0037-976X	1540-5834	PSYCHOLOGY, DEVELOPMENTAL - SSCI	7.200	Q1	1.29
